;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEN_207;Freddrechsäje;;;;;;;;;;;;;x
NEN_60;Patameck;;;;;;;;;;;;;x
NEN_219;Honsrögge;;;;;;;;;;;;;x
NEN_222;Neu-Grönnen;;;;;;;;;;;;;x
NEN_232;Weldsteenköst;;;;;;;;;;;;;x
NEN_240;Morjeland;;;;;;;;;;;;;x
USA_218;Appalachien;;;;;;;;;;;;;x
PROV223;Ankönft;;;;;;;;;;;;x
PROV224;Berjewied;;;;;;;;;;;;x
PROV225;Otzstadt;;;;;;;;;;;;x
PROV226;Jehölzhof;;;;;;;;;;;;x
PROV2627;Vaendelsdörp;;;;;;;;;;;;x
PROV228;Merenburch;;;;;;;;;;;;x
PROV229;Freierhalde;;;;;;;;;;;;x
PROV230;Jaushafe;;;;;;;;;;;;x
PROV231;Dortmond am See;;;;;;;;;;;;x
PROV232;Rhingdämm;;;;;;;;;;;;x
PROV233;Längder Ensel;;;;;;;;;;;;x
PROV234;Nieuwerkerk am Rhing;;;;;;;;;;;;x
PROV235;Nordbosch;;;;;;;;;;;;x
PROV236;Höjelsweiler;;;;;;;;;;;;x
PROV241;Jachdbereeche;;;;;;;;;;;;x
PROV242;Otzhafe;;;;;;;;;;;;x
PROV243;Ehschdestadt;;;;;;;;;;;;x
PROV244;Neu-Jeldere;;;;;;;;;;;;x
PROV245;Bronnefeld;;;;;;;;;;;;x
PROV219;Södehafe;;;;;;;;;;;;x
PROV220;Ponktdäfelse;;;;;;;;;;;;x
PROV221;Houtem;;;;;;;;;;;;x
PROV222;Nölhoff;;;;;;;;;;;;x
PROV2146;Häfemongk;;;;;;;;;;;;x
PROV211;Klepperbröck;;;;;;;;;;;;x
PROV212;Männerejon;;;;;;;;;;;;x
PROV213;Falkeburch;;;;;;;;;;;;x
PROV60;Westfott;;;;;;;;;;;;x
PROV214;Nöldes Landong;;;;;;;;;;;;x
PROV215;Westerburch;;;;;;;;;;;;x
PROV216;Richistomp;;;;;;;;;;;;x
PROV207;Jrönhain;;;;;;;;;;;;x
PROV208;Kapellhöjel;;;;;;;;;;;;x
PROV209;Kalleswal;;;;;;;;;;;;x
PROV210;Könichstadt;;;;;;;;;;;;x
PROV2556;Westrug;;;;;;;;;;;;x
PROV240;Dorhing;;;;;;;;;;;;x
PROV246;Höhderwald;;;;;;;;;;;;x
PROV247;Krommholz;;;;;;;;;;;;x
PROV248;Blotjrond;;;;;;;;;;;;x